,Unemployment rate,Date
153,4.6,2015-12-01
154,4.5,2016-01-01
155,4.4,2016-02-01
156,4.3,2016-03-01
157,4.3,2016-04-01
158,4.3,2016-06-01
159,4.2,2016-07-01
160,4.2,2016-08-01
161,4.3,2016-09-01
162,4.3,2016-10-01
163,4.2,2016-11-01
164,4.2,2016-12-01
165,4.1,2017-01-01
166,4.0,2017-02-01
167,4.0,2017-03-01
168,3.9,2017-04-01
169,3.9,2017-06-01
170,4.0,2017-07-01
171,4.0,2017-08-01
172,4.0,2017-09-01
173,4.1,2017-10-01
174,4.1,2017-11-01
175,4,2017-12-01
176,4.1,2018-01-01
177,4.0,2018-02-01
178,4.0,2018-03-01
179,3.9,2018-04-01
180,3.8,2018-06-01
181,3.7,2018-07-01
182,3.7,2018-08-01
183,3.7,2018-09-01
184,3.7,2018-10-01
185,3.7,2018-11-01
186,3.7,2018-12-01
187,3.6,2019-01-01
188,3.5,2019-02-01
189,3.5,2019-03-01
190,3.4,2019-04-01
191,3.4,2019-06-01
192,3.4,2019-07-01
193,3.4,2019-08-01
194,3.3,2019-09-01
195,3.3,2019-10-01
196,3.2,2019-11-01
197,3.3,2019-12-01
198,3.4,2020-01-01
199,3.5,2020-02-01
200,3.5,2020-03-01
201,9.0,2020-04-01
202,8.1,2020-06-01
203,7.8,2020-07-01
204,7.1,2020-08-01
205,7.0,2020-09-01
206,6.7,2020-10-01
207,6.6,2020-11-01
208,6.7,2020-12-01
209,6.4,2021-01-01
210,6.2,2021-02-01
211,6.0,2021-03-01
212,5.9,2021-04-01
213,5.7,2021-06-01
214,5.5,2021-07-01
215,5.3,2021-08-01
216,4.8,2021-09-01
217,4.5,2021-10-01
218,4.1,2021-11-01
219,3.7,2021-12-01
220,3.7,2022-01-01
221,3.4,2022-02-01
222,3.2,2022-03-01
223,3.1,2022-04-01
224,3.2,2022-06-01
225,3.2,2022-07-01
226,3.4,2022-08-01
227,3.2,2022-09-01
228,3.2,2022-10-01
229,3.1,2022-11-01
230,3,2022-12-01
231,3.0,2023-01-01
232,2.9,2023-02-01
233,2.7,2023-03-01
234,2.5,2023-04-01
235,2.0,2023-06-01
236,1.8,2023-07-01
237,1.7,2023-08-01
238,1.6,2023-09-01
239,1.7,2023-10-01
240,1.8,2023-11-01
241,1.9(P),2023-12-01
