Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold,Cars Sold,Monthly Change in Cars Sold,Monthly Change in Cars Sold (%),Total Value of Cars Sold,Monthly Change in Value of Cars Sold,Monthly Change in Value of Cars Sold (%),Monthly Change in Number of New Cars Sold,Monthly Change in Number of New Cars Sold (%),Monthly Change in Value of New Cars Sold,Monthly Change in Value of New Cars Sold (%),Monthly Change in Number of Used Cars Sold,Monthly Change in Number of Used Cars Sold (%),Monthly Change in Value of Used Cars Sold,Monthly Change in Value of Used Cars Sold (%)
2003-07-01,38573,59904,941898387,455117890,98477,-1737.0,-1.7332907577783496,1397016277,9942022.0,0.7167620597211544,101.0,0.26252859222291036,24558779.0,2.6771741660150727,-1838.0,-2.976903890382565,-14616757.0,-3.1117051069899038
2003-08-01,41088,62811,990041754,489374362,103899,5422.0,5.50585415883913,1479416116,82399839.0,5.898273367075446,2515.0,6.520104736473709,48143367.0,5.111312182340533,2907.0,4.852764423076916,34256472.0,7.526944721948858
2003-09-01,39556,60829,985375378,460316726,100385,-3514.0,-3.3821307231060915,1445692104,-33724012.0,-2.2795487784182056,-1532.0,-3.7285825545171347,-4666376.0,-0.47133123235931773,-1982.0,-3.1554982407540066,-29057636.0,-5.937711138206292
2003-10-01,40464,58279,1012404987,446119525,98743,-1642.0,-1.6357025452009788,1458524512,12832408.0,0.8876307731428223,908.0,2.2954798260693687,27029609.0,2.7430773696478505,-2550.0,-4.192079435795426,-14197201.0,-3.084224447668671
2003-11-01,38597,62417,980365678,470520906,101014,2271.0,2.299909867028549,1450886584,-7637928.0,-0.5236749836673327,-1867.0,-4.613977856860418,-32039309.0,-3.1646731704611852,4138.0,7.10032773383209,24401381.0,5.4696958175054045
2003-12-01,30155,50655,779674957,385164663,80810,-20204.0,-20.00118795414497,1164839620,-286046964.0,-19.715322145400716,-8442.0,-21.87216623053605,-200690721.0,-20.471006431948958,-11762.0,-18.844225130973935,-85356243.0,-18.14079712751382
2004-01-01,31668,49823,838060569,401959321,81491,681.0,0.8427174854597208,1240019890,75180270.0,6.454130569494199,1513.0,5.0174100480848915,58385612.0,7.488455474400979,-832.0,-1.6424834665876964,16794658.0,4.360383911958188
2004-02-01,33361,46427,891062280,367825717,79788,-1703.0,-2.0898013277539818,1258887997,18868107.0,1.5215971253493388,1693.0,5.34609069091827,53001711.0,6.324329405360674,-3396.0,-6.816129097003387,-34133604.0,-8.491805567558908
2004-03-01,27780,50842,721703209,377496734,78622,-1166.0,-1.4613726374893443,1099199943,-159688054.0,-12.684849993053039,-5581.0,-16.72911483468721,-169359071.0,-19.006423546511254,4415.0,9.50955263101212,9671017.0,2.6292389447037934
2004-04-01,39340,68766,975737236,502144505,108106,29484.0,37.500953931469574,1477881741,378681798.0,34.450674821405094,11560.0,41.612670986321085,254034027.0,35.199237558052765,17924.0,35.254317296723194,124647771.0,33.01956275997875
2004-05-01,37478,64059,919596999,472014215,101537,-6569.0,-6.076443490648065,1391611214,-86270527.0,-5.837444540158232,-1862.0,-4.733096085409249,-56140237.0,-5.753622484486187,-4707.0,-6.844952447430419,-30130290.0,-6.00032255655173
