,Unemployment rate,Date
153,5.5,2014-10-01
154,5.5,2014-11-01
155,5.4,2014-12-01
156,5.4,2015-01-01
157,5.3,2015-02-01
158,5.3,2015-03-01
159,5.2,2015-04-01
160,5.1,2015-05-01
161,5.0,2015-06-01
162,4.9,2015-07-01
163,4.9,2015-08-01
164,4.8,2015-09-01
165,4.7,2015-10-01
166,4.7,2015-11-01
167,4.6,2015-12-01
168,4.5,2016-01-01
169,4.4,2016-02-01
170,4.3,2016-03-01
171,4.3,2016-04-01
172,4.3,2016-05-01
173,4.3,2016-06-01
174,4.2,2016-07-01
175,4.2,2016-08-01
176,4.3,2016-09-01
177,4.3,2016-10-01
178,4.2,2016-11-01
179,4.2,2016-12-01
180,4.1,2017-01-01
181,4.0,2017-02-01
182,4.0,2017-03-01
183,3.9,2017-04-01
184,3.9,2017-05-01
185,3.9,2017-06-01
186,4.0,2017-07-01
187,4.0,2017-08-01
188,4.0,2017-09-01
189,4.1,2017-10-01
190,4.1,2017-11-01
191,4,2017-12-01
192,4.1,2018-01-01
193,4.0,2018-02-01
194,4.0,2018-03-01
195,3.9,2018-04-01
196,3.8,2018-05-01
197,3.8,2018-06-01
198,3.7,2018-07-01
199,3.7,2018-08-01
200,3.7,2018-09-01
201,3.7,2018-10-01
202,3.7,2018-11-01
203,3.7,2018-12-01
204,3.6,2019-01-01
205,3.5,2019-02-01
206,3.5,2019-03-01
207,3.4,2019-04-01
208,3.4,2019-05-01
209,3.4,2019-06-01
210,3.4,2019-07-01
211,3.4,2019-08-01
212,3.3,2019-09-01
213,3.3,2019-10-01
214,3.2,2019-11-01
215,3.3,2019-12-01
216,3.4,2020-01-01
217,3.5,2020-02-01
218,3.5,2020-03-01
219,9.0,2020-04-01
220,8.8,2020-05-01
221,8.1,2020-06-01
222,7.8,2020-07-01
223,7.1,2020-08-01
224,7.0,2020-09-01
225,6.7,2020-10-01
226,6.6,2020-11-01
227,6.7,2020-12-01
228,6.4,2021-01-01
229,6.2,2021-02-01
230,6.0,2021-03-01
231,5.9,2021-04-01
232,5.7,2021-05-01
233,5.7,2021-06-01
234,5.5,2021-07-01
235,5.3,2021-08-01
236,4.8,2021-09-01
237,4.5,2021-10-01
238,4.1,2021-11-01
239,3.7,2021-12-01
240,3.7,2022-01-01
241,3.4,2022-02-01
242,3.2,2022-03-01
243,3.1,2022-04-01
244,3.1,2022-05-01
245,3.2,2022-06-01
246,3.2,2022-07-01
247,3.4,2022-08-01
248,3.2,2022-09-01
249,3.2,2022-10-01
250,3.1,2022-11-01
251,3,2022-12-01
252,3.0,2023-01-01
253,2.9,2023-02-01
254,2.7,2023-03-01
255,2.5,2023-04-01
256,2.4,2023-05-01
257,2.0,2023-06-01
258,1.8,2023-07-01
259,1.7,2023-08-01
260,1.6,2023-09-01
261,1.7,2023-10-01
262,1.8,2023-11-01
263,1.9(P),2023-12-01
