,Date,New Cars Sold,Used Cars Sold,Value of New Cars Sold,Value of Used Cars Sold
53,2006-06-01,38718,63039,962049369,530723293
54,2006-07-01,36662,56611,928819275,481673874
55,2006-08-01,37151,66516,964524846,566181664
56,2006-09-01,35334,57684,914277304,496348705
57,2006-10-01,33211,60068,873442790,517877328
58,2006-11-01,28138,52776,767687998,461552850
59,2006-12-01,26879,50097,733181836,429705987
60,2007-01-01,31430,53277,886162633,462733911
61,2007-02-01,24793,48360,668148095,407096172
62,2007-03-01,32862,61513,872431678,514312592
63,2007-04-01,33705,59128,865042222,500935964
64,2007-05-01,34931,62944,887475431,526560827
65,2007-06-01,37333,61175,948250315,519442504
66,2007-07-01,33259,60991,851325779,521144458
67,2007-08-01,35186,63410,929649250,541115210
68,2007-09-01,30248,52541,806385930,443757477
69,2007-10-01,32965,59348,885708713,516190017
70,2007-11-01,27160,50593,735515910,445062491
71,2007-12-01,24312,45269,661821527,395862246
72,2008-01-01,29072,47857,799819205,430842103
73,2008-02-01,22819,50937,611004312,409316017
74,2008-03-01,27118,55978,704894267,449993794
75,2008-04-01,30769,58468,778075721,478875678
76,2008-05-01,29035,55339,709096913,437787528
77,2008-06-01,31463,54449,747520852,426137636
78,2008-07-01,29188,57055,732481463,444897621
79,2008-08-01,25666,53455,663384108,411849673
80,2008-09-01,26751,51206,697999898,398834140
81,2008-10-01,23216,50727,614717936,382437406
82,2008-11-01,16842,39803,447337415,295521964
83,2008-12-01,17220,42611,469069897,329674280
84,2009-01-01,17963,41254,504208132,320520578
85,2009-02-01,14779,48308,418843100,332054088
86,2009-03-01,17844,56948,465300148,390527459
87,2009-04-01,20905,55631,526701218,390447902
88,2009-05-01,19781,51149,501252689,366133295
89,2009-06-01,24509,56732,627433850,411152753
90,2009-07-01,22836,57693,602063511,431644869
91,2009-08-01,25251,52432,651209293,388684275
92,2009-09-01,26992,53361,719767451,412237339
93,2009-10-01,20717,50783,593186195,383952423
94,2009-11-01,18590,42895,527527906,328315049
95,2009-12-01,18761,41703,548724421,354370497
96,2010-01-01,20419,40588,582084918,316999705
97,2010-02-01,14809,38932,405189138,296703782
98,2010-03-01,21920,62510,604302888,457388434
99,2010-04-01,25844,61229,688229510,479848337
100,2010-05-01,24383,52548,640624378,426753739
101,2010-06-01,25850,60192,686655808,481352489
102,2010-07-01,23136,54934,644471700,457619574
103,2010-08-01,23512,57005,659524567,460747955
104,2010-09-01,24520,54371,692681798,452201494
105,2010-10-01,22003,50911,629304220,423489578
106,2010-11-01,20551,48275,601640805,403191833
107,2010-12-01,21075,44550,626205792,398505383
108,2011-01-01,22239,43292,649505622,374185956
109,2011-02-01,18863,48464,541928549,375638939
110,2011-03-01,27667,65857,760075360,513965808
111,2011-04-01,25793,57373,713850012,465992034
112,2011-05-01,25464,54135,698611340,440018761
113,2011-06-01,26984,59203,754568121,499370349
